dm_a100dc56	WCI	POG2564040090	บจ.แอคชัวเรียล บิสซิเนส โซลูชั่นส์ แอนด์ เซอร์วิสเซส	Close							20000000	0.1	THB			20000000					9 เดือน
dm_72270201	WCI	POG2564040052	คุณพิภู ดีเสาวภาคย์	Active							2000000	0.1	THB			2000000					9 เดือน
dm_acaf0513	WCI	POG2564040100	คุณกฤษฎา ตติยกวี	Active			2066-08-23				5000000	0.1	THB	2066-08-23		5000000					9 เดือน
dm_a317ea86	WCI	POG2564040102	คุณกฤษฎา ตติยกวี	Active			2066-08-24				3000000	0.1	THB	2066-08-24		3000000					9 เดือน
dm_14834b68	WCI	POG25640404104	คุณพาณี มีอำพล	Active			2566-09-25				500000	0.1	THB	2566-09-25		500000					9 เดือน
dm_13e5a953	WCI	POG2564040108	บจ.แอคชัวเรียลบิซ	Close			2023-12-15				10000000	0.1	THB	2023-12-15		10000000					12 เดือน
dm_fbbb5c4d	WCI	POG2564040122	บจ.แอคชัวเรียลบิซ	Close			2023-12-15				15000000	0.1	THB	2023-12-15		15000000					12 เดือน
dm_8e4f3ec4	WCI	POG2564040110	คุณธเนศ ลีลาภรณ์	Close			2023-12-18				5000000	0.1	THB	2023-12-18		5000000					12 เดือน
dm_a250d665	WCI	POG2564040128	คุณนิตยา รุ่งอนันต์ชัย	Active			2024-03-15				3000000	0.1	THB	2024-03-15		3000000					12 เดือน
dm_de17e3f1	WCI	POG2567030002	คุณนพวรรณ ไกรฤกษ์	Active			2024-03-15				20000000	0.1	THB	2024-03-15		20000000					12 เดือน
dm_5e859c7e	WCI	POG2567030004	คุณพัทธนัน ชัญมาตรกิจ	Active			2024-04-09				2000000	0.1	THB	2024-04-09		2000000					12 เดือน
dm_8d3e4d9b	WCI	POG2567040002	คุณจิตติ มกร์ดารา	Close			2024-04-22				3000000	0.1	THB	2024-04-22		3000000					12 เดือน
dm_5c71fcfe	WCI	POG2567050008	คุณรวี มะโนทัย	Active			2024-06-14				1000000	0.1	THB	2024-06-14		1000000					12 เดือน
dm_5c63f016	WCI	POG2567050006	คุณปิยพร จวนรมณีย์	Active			2024-05-24				2000000	0.1	THB	2024-05-24		2000000					12 เดือน
dm_8ac14a8c	WCI	POG2567050002	คุณสัญชญา รัตนะกนก	Close			2024-05-27				2000000	0.1	THB	2024-05-27		2000000					12 เดือน
dm_2cf08194	WCI	POG2567050010	คุณสัญชญา รัตนะกนก	Close							40000000	0.1	THB			40000000					12 เดือน
dm_4c89d8bb	WCI	POG2567050014	คุณสัญชญา รัตนะกนก	Active			2024-06-07				4000000	0.1	THB	2024-06-07		4000000					12 เดือน
dm_91f58f64	WCI	POG256706002	คุณสัญชญา รัตนะกนก	Active			2024-06-14				10000000	0.1	THB	2024-06-14		10000000					12 เดือน
dm_82c97234	WCI	POG2564040064	คุณสัญชญา รัตนะกนก	Active			2023-07-07				5000000	0.1	THB	2023-07-07		5000000					12 เดือน
dm_b928c523	WCI	POG256709001B	คุณวรชัย ชื่นชมพูนุท	Close			2024-09-24				2000000	0.1	THB	2024-09-24		2000000					12 เดือน
dm_fc6d88cd	WCI	POG256710001B	คุณสัญชญา รัตนะกนก	Active			2024-10-25				4000000	0.1	THB	2024-10-25		4000000					12 เดือน
dm_37643e32	WCI	POG256710002B	คุณณิฌา หาญฤทธิรงค์	Active			2024-10-25				2000000	0.1	THB	2024-10-25		2000000					12 เดือน
dm_ae191e56	WCI	POG256711001B	คุณกฤษฎา ตติยกวี	Close			2024-11-05				20000000	0.1	THB	2024-11-05		20000000					3 เดือน
dm_6a3a8a9a	WCI	POG256711002B	หม่อมหลวง วรุตม์ วรวรรณ	Active			2024-12-19				5000000	0.1	THB	2024-12-19		5000000					12 เดือน
dm_2cb3208c	WCI	POG256712001B	คุณเอกลักษณ์ รุ่งอนันต์ชัย	Active			2024-12-12				10000000	0.1	THB	2024-12-12		10000000					12 เดือน
dm_c23b3d52	WCI	POG256801001B	คุณพัชรินทร์ เชาว์ชาญกิจ	Active			2025-01-20				1500000	0.1	THB	2025-01-20		1500000					12 เดือน
dm_e4722e25	WCI	POG256801002B	คุณปัทมา เชาว์ชาญกิจ	Active			2025-01-20				500000	0.1	THB	2025-01-20		500000					12 เดือน
dm_2e140fd8	WCI	POG2564040037E04A	คุณพิภู ดีเสาวภาคย์	Active			2025-03-01				3000000	0.1	THB	2025-03-01		3000000					12 เดือน
dm_c4637e51	WCI	POG256804001B	คุณจิตติ มกร์ดารา	Close			2025-05-02				3000000	0.1	THB	2025-05-02		3000000					12 เดือน
dm_d6fa1f7f	WCI	POG256804002B	คุณภาวิลาส เชาว์ชาญกิจ	Active			2025-05-24				2500000	0.1	THB	2025-05-24		2500000					12 เดือน
dm_45c653c5	WCI	POG256807001B	คุณภาวิลาส เชาว์ชาญกิจ	Active			2025-07-11				3000000	0.1	THB	2025-07-11		3000000					12 เดือน
dm_8293809d	WCI	POG256901001B	คุณภาวิลาส เชาว์ชาญกิจ	Active			2026-01-15				1000000	0.1	THB	2026-01-15		1000000					12 เดือน
dm_24e36813	Non-WCI	POG20220705001	คุณภัทริณี กรรณสูต	Active			2022-07-04				2000000	0.1	THB	2022-07-04		2000000					6 เดือน
dm_c581f99f	Non-WCI	Non-WCI-2.ทรัพย์เติมสุข	บริษัท ทรัพย์เติมสุข จำกัด	Active			2022-01-31				1233396.81		THB	2022-01-31		1233396.81					
dm_f6580290	Non-WCI	Non-WCI-3.ทรัพย์เติมสุข	บริษัท ทรัพย์เติมสุข จำกัด	Active			2023-01-13				2000000		THB	2023-01-13		2000000					
dm_d5c84711	Non-WCI	Non-WCI-3.ทรัพย์เติมสุข(2)	บริษัท ทรัพย์เติมสุข จำกัด	Active			2023-01-13				400000		THB	2023-01-13		400000					
